Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-GPU-sequential  cvxqp3.mtx                     1      128    0.289423   0.004517     0.000484  
SpMV-GPU-sequential  cyl6.mtx                       1      128    1.635267   0.003631     0.000445  
SpMV-GPU-sequential  human_gene2.mtx                1      128    24.884877  0.005818     0.000727  
SpMV-GPU-sequential  lhr10.mtx                      1      128    0.907059   0.004207     0.000513  
SpMV-GPU-sequential  mawi_201512012345.mtx          1      128    94.797985  0.005505     0.000401  
SpMV-GPU-sequential  rajat31.mtx                    1      128    149.487000 0.002484     0.000272  
SpMV-GPU-sequential  spmsrtls.mtx                   1      128    0.499077   0.004759     0.000521  
SpMV-GPU-sequential  af23560.mtx                    32     128    0.082821   0.095972     0.011694  
SpMV-GPU-sequential  af_shell8.mtx                  32     128    3.401175   0.043813     0.005320  
SpMV-GPU-sequential  CurlCurl_4.mtx                 32     128    4.081336   0.062089     0.007080  
SpMV-GPU-sequential  cvxqp3.mtx                     32     128    0.014930   0.087569     0.009375  
SpMV-GPU-sequential  cyl6.mtx                       32     128    0.073482   0.080803     0.009906  
SpMV-GPU-sequential  human_gene2.mtx                32     128    2.066412   0.070064     0.008751  
SpMV-GPU-sequential  lhr10.mtx                      32     128    0.019904   0.191728     0.023376  
SpMV-GPU-sequential  mawi_201512012345.mtx          32     128    14.843886  0.035155     0.002563  
SpMV-GPU-sequential  rajat31.mtx                    32     128    6.445466   0.057601     0.006304  
SpMV-GPU-sequential  spmsrtls.mtx                   32     128    0.011014   0.215616     0.023600  
SpMV-GPU-sequential  af23560.mtx                    4      128    0.562381   0.014134     0.001722  
SpMV-GPU-sequential  af_shell8.mtx                  4      128    15.349105  0.009708     0.001179  
SpMV-GPU-sequential  CurlCurl_4.mtx                 4      128    23.654523  0.010713     0.001222  
SpMV-GPU-sequential  cvxqp3.mtx                     4      128    0.080671   0.016207     0.001735  
SpMV-GPU-sequential  cyl6.mtx                       4      128    0.551322   0.010770     0.001320  
SpMV-GPU-sequential  human_gene2.mtx                4      128    15.671009  0.009239     0.001154  
SpMV-GPU-sequential  lhr10.mtx                      4      128    0.140266   0.027207     0.003317  
SpMV-GPU-sequential  mawi_201512012345.mtx          4      128    24.821496  0.021023     0.001533  
SpMV-GPU-sequential  rajat31.mtx                    4      128    24.960501  0.014874     0.001628  
SpMV-GPU-sequential  spmsrtls.mtx                   4      128    0.075575   0.031424     0.003440  
SpMV-GPU-sequential  af23560.mtx                    64     128    0.070533   0.112692     0.013731  
SpMV-GPU-sequential  af_shell8.mtx                  64     128    2.417213   0.061648     0.007485  
SpMV-GPU-sequential  CurlCurl_4.mtx                 64     128    3.573555   0.070911     0.008086  
SpMV-GPU-sequential  cvxqp3.mtx                     64     128    0.014418   0.090678     0.009708  
SpMV-GPU-sequential  cyl6.mtx                       64     128    0.043704   0.135857     0.016656  
SpMV-GPU-sequential  human_gene2.mtx                64     128    0.680769   0.212672     0.026562  
SpMV-GPU-sequential  lhr10.mtx                      64     128    0.032727   0.116605     0.014217  
SpMV-GPU-sequential  mawi_201512012345.mtx          64     128    14.135427  0.036916     0.002691  
SpMV-GPU-sequential  rajat31.mtx                    64     128    2.520325   0.147309     0.016122  
SpMV-GPU-sequential  spmsrtls.mtx                   64     128    0.022774   0.104281     0.011414  
SpMV-GPU-sequential  af23560.mtx                    8      128    0.334479   0.023764     0.002896  
SpMV-GPU-sequential  af_shell8.mtx                  8      128    10.195108  0.014616     0.001775  
SpMV-GPU-sequential  CurlCurl_4.mtx                 8      128    14.060360  0.018023     0.002055  
SpMV-GPU-sequential  cvxqp3.mtx                     8      128    0.042291   0.030914     0.003309  
SpMV-GPU-sequential  cyl6.mtx                       8      128    0.199578   0.029751     0.003647  
SpMV-GPU-sequential  human_gene2.mtx                8      128    3.593627   0.040288     0.005032  
SpMV-GPU-sequential  lhr10.mtx                      8      128    0.107704   0.035432     0.004320  
SpMV-GPU-sequential  mawi_201512012345.mtx          8      128    23.441183  0.022261     0.001623  
SpMV-GPU-sequential  rajat31.mtx                    8      128    12.570281  0.029535     0.003232  
SpMV-GPU-sequential  spmsrtls.mtx                   8      128    0.073400   0.032355     0.003541  
SpMV-GPU-sequential  af23560.mtx                    128    2048   0.003031   2.622363     0.319531  
SpMV-GPU-sequential  af_shell8.mtx                  128    2048   0.002970   50.180610    6.092985  
SpMV-GPU-sequential  CurlCurl_4.mtx                 128    2048   0.002867   88.380728    10.078258 
SpMV-GPU-sequential  cvxqp3.mtx                     128    2048   0.002949   0.443316     0.047459  
SpMV-GPU-sequential  cyl6.mtx                       128    2048   0.001547   3.838405     0.470574  
SpMV-GPU-sequential  human_gene2.mtx                128    2048   0.002949   49.092723    6.131567  
SpMV-GPU-sequential  lhr10.mtx                      128    2048   0.001430   2.667892     0.325270  
SpMV-GPU-sequential  mawi_201512012345.mtx          128    2048   0.001492   349.789335   25.498928 
SpMV-GPU-sequential  rajat31.mtx                    128    2048   0.002785   133.296377   14.588302 
SpMV-GPU-sequential  spmsrtls.mtx                   128    2048   0.001460   1.626808     0.178062  
SpMV-GPU-sequential  af23560.mtx                    16     2048   0.002888   2.752551     0.335394  
SpMV-GPU-sequential  af_shell8.mtx                  16     2048   0.002744   54.299914    6.593156  
SpMV-GPU-sequential  CurlCurl_4.mtx                 16     2048   0.002867   88.380728    10.078258 
SpMV-GPU-sequential  cvxqp3.mtx                     16     2048   0.002806   0.465967     0.049884  
SpMV-GPU-sequential  cyl6.mtx                       16     2048   0.002806   2.116201     0.259438  
SpMV-GPU-sequential  human_gene2.mtx                16     2048   0.001510   95.896259    11.977220 
SpMV-GPU-sequential  lhr10.mtx                      16     2048   0.001505   2.535178     0.309089  
SpMV-GPU-sequential  mawi_201512012345.mtx          16     2048   0.002888   180.708979   13.173315 
SpMV-GPU-sequential  rajat31.mtx                    16     2048   0.001469   252.659342   27.651695 
SpMV-GPU-sequential  spmsrtls.mtx                   16     2048   0.001409   1.685173     0.184450  
SpMV-GPU-sequential  af23560.mtx                    1      2048   0.002847   2.792157     0.340220  
SpMV-GPU-sequential  af_shell8.mtx                  1      2048   0.002826   52.726003    6.402050  
SpMV-GPU-sequential  CurlCurl_4.mtx                 1      2048   0.002888   87.753915    10.006781 
SpMV-GPU-sequential  cvxqp3.mtx                     1      2048   0.002929   0.446416     0.047791  
SpMV-GPU-sequential  cyl6.mtx                       1      2048   0.002888   2.056167     0.252078  
SpMV-GPU-sequential  human_gene2.mtx                1      2048   0.002929   49.436029    6.174445  
SpMV-GPU-sequential  lhr10.mtx                      1      2048   0.002601   1.467209     0.178882  
SpMV-GPU-sequential  mawi_201512012345.mtx          1      2048   0.002826   184.637435   13.459692 
SpMV-GPU-sequential  rajat31.mtx                    1      2048   0.001603   231.671666   25.354749 
SpMV-GPU-sequential  spmsrtls.mtx                   1      2048   0.001436   1.653632     0.180998  
SpMV-GPU-sequential  af23560.mtx                    32     2048   0.002949   2.695207     0.328407  
SpMV-GPU-sequential  af_shell8.mtx                  32     2048   0.002970   50.180610    6.092985  
SpMV-GPU-sequential  CurlCurl_4.mtx                 32     2048   0.002826   89.661609    10.224320 
